ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
IARE,IARE694994,694994,No usual address (Tas.),0
IARE,IARE697997,697997,Migratory - Offshore - Shipping (Tas.),0
IARE,IARE703001,703001,Alawa - Brinkin - Nakara,3.926
IARE,IARE703002,703002,Anula - Wulagi,2.5807
IARE,IARE703003,703003,Coconut Grove - Ludmilla,5.3696
IARE,IARE703004,703004,Cox - Finniss - Coomalie,7822.6772
IARE,IARE703005,703005,Darwin - Inner Suburbs,16.5509
IARE,IARE703006,703006,Karama,2.0655
IARE,IARE703007,703007,Litchfield,2956.6023
IARE,IARE703008,703008,Malak,1.7493
IARE,IARE703009,703009,Marrara - Winnellie - Berrimah,80.7128
IARE,IARE703010,703010,Millner - Jingili,2.784
IARE,IARE703011,703011,Moil - Wagaman - Wanguri,2.7657
IARE,IARE703012,703012,Nightcliff - Rapid Creek,3.3688
IARE,IARE703013,703013,Palmerston,52.6559
IARE,IARE703014,703014,Tiwi - Lyons - Leanyer,36.5719
IARE,IARE704001,704001,Douglas-Daly,34828.0715
IARE,IARE704002,704002,Kakadu - Marrakai - Jabiru,25277.9881
IARE,IARE704003,704003,Maningrida and Outstations,9769.0926
IARE,IARE704004,704004,North-West Arnhem,23740.15
IARE,IARE704005,704005,Thamarrurr inc. Wadeye,3373.7078
IARE,IARE704006,704006,Tiwi Islands,7483.1661
IARE,IARE705001,705001,Borroloola,12.5634
IARE,IARE705002,705002,Daguragu - Kalkarindji and Outstations,50.4071
IARE,IARE705003,705003,Elsey - Roper,92949.7346
IARE,IARE705004,705004,Gulf,87835.0886
IARE,IARE705005,705005,Katherine Town,7416.9497
IARE,IARE705006,705006,Lajamanu,6.7088
IARE,IARE705007,705007,Ngukurr,12.0357
IARE,IARE705008,705008,Victoria River,106082.7948
IARE,IARE705009,705009,Walangeri,27468.9308
IARE,IARE706001,706001,Anindilyakwa (Groote),2609.0396
IARE,IARE706002,706002,Gapuwiyak and Outstations,6353.2809
IARE,IARE706003,706003,Laynhapuy - Gumatj Homelands,7906.127
IARE,IARE706004,706004,Marthakal Homelands - Galiwinku,5182.3657
IARE,IARE706005,706005,Nhulunbuy - Gunyangara,85.5034
IARE,IARE706006,706006,Numbulwar and Outstations,4418.5473
