ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
UCL,UCL115112,115112,North Rothbury,3.4167
UCL,UCL115113,115113,Nyngan,11.6282
UCL,UCL115114,115114,Oberon,7.1806
UCL,UCL115115,115115,Ocean Shores,10.5118
UCL,UCL115116,115116,Old Bar,5.3435
UCL,UCL115117,115117,Old Erowal Bay,1.1767
UCL,UCL115118,115118,Pambula,7.5931
UCL,UCL115119,115119,Picton,4.4049
UCL,UCL115120,115120,Pitt Town,5.2462
UCL,UCL115121,115121,Portland (NSW),4.7269
UCL,UCL115122,115122,Quirindi,9.78
UCL,UCL115123,115123,Robertson,3.3152
UCL,UCL115124,115124,Sandy Beach - Emerald Beach,7.3584
UCL,UCL115125,115125,Shoalhaven Heads,4.2675
UCL,UCL115126,115126,Skennars Head,0.8228
UCL,UCL115127,115127,Smiths Lake,5.2453
UCL,UCL115128,115128,South Golden Beach,2.5033
UCL,UCL115129,115129,Stanwell Park,3.2243
UCL,UCL115130,115130,Sussex Inlet,10.9311
UCL,UCL115131,115131,Tanilba Bay,3.3053
UCL,UCL115132,115132,Tathra,6.8041
UCL,UCL115133,115133,Tea Gardens,1.9817
UCL,UCL115134,115134,Temora,16.1066
UCL,UCL115135,115135,Tenterfield,7.2653
UCL,UCL115136,115136,The Oaks,1.9297
UCL,UCL115137,115137,Thirlmere,7.31
UCL,UCL115138,115138,Thrumster,5.9061
UCL,UCL115139,115139,Tocumwal,18.5863
UCL,UCL115140,115140,Tomakin,3.8804
UCL,UCL115141,115141,Tumbarumba,6.2643
UCL,UCL115142,115142,Tuross Head,3.726
UCL,UCL115143,115143,Uralla,8.2332
UCL,UCL115144,115144,Urunga,5.3632
UCL,UCL115145,115145,Valla Beach,2.1837
UCL,UCL115146,115146,Vincentia,3.3417
UCL,UCL115147,115147,Vincentia West,0.9218
UCL,UCL115148,115148,Walcha,3.6711
UCL,UCL115149,115149,Walgett,5.7855
UCL,UCL115150,115150,Wallacia,1.6786
UCL,UCL115151,115151,Wallerawang,5.5764
UCL,UCL115152,115152,Warialda,3.5224
UCL,UCL115153,115153,Warren,2.9812
UCL,UCL115154,115154,Wee Waa,4.5377
UCL,UCL115155,115155,Wellington,9.3292
UCL,UCL115156,115156,Wentworth,4.6048
UCL,UCL115157,115157,Werris Creek,5.4511
UCL,UCL115158,115158,West Wyalong,8.2726
