ASGS_Structure,Census_Code_2021,AGSS_Code_2021,Census_Name_2021,Area sqkm
SA2,103011059,103011059,Bathurst - East,94.0342
SA2,103011060,103011060,Bathurst Surrounds,3798.2628
SA2,103011061,103011061,Oberon,2972.3813
SA2,103011612,103011612,Bathurst - South,37.4794
SA2,103011613,103011613,Bathurst - West,82.0252
SA2,103021062,103021062,Condobolin,15858.8502
SA2,103021063,103021063,Cowra,242.201
SA2,103021064,103021064,Cowra Surrounds,3037.1556
SA2,103021065,103021065,Forbes,4598.0438
SA2,103021066,103021066,Grenfell,3294.0766
SA2,103021067,103021067,Parkes (NSW),234.7555
SA2,103021068,103021068,Parkes Surrounds,5418.1649
SA2,103021069,103021069,West Wyalong,8317.473
SA2,103031070,103031070,Lithgow,119.9844
SA2,103031071,103031071,Lithgow Surrounds,2514.0698
SA2,103031072,103031072,Mudgee,65.8949
SA2,103031073,103031073,Mudgee Surrounds - East,2852.0843
SA2,103031074,103031074,Mudgee Surrounds - West,8043.8633
SA2,103031075,103031075,Wollangambe - Wollemi,2448.7276
SA2,103041076,103041076,Blayney,1642.6748
SA2,103041077,103041077,Orange,45.2499
SA2,103041078,103041078,Orange - North,99.5119
SA2,103041079,103041079,Orange Surrounds,4480.0956
SA2,104011080,104011080,Grafton,106.2537
SA2,104011081,104011081,Grafton Surrounds,8445.891
SA2,104011082,104011082,Maclean - Yamba - Iluka,711.0493
SA2,104021083,104021083,Bellingen,1001.0481
SA2,104021084,104021084,Coffs Harbour - North,25.6688
SA2,104021085,104021085,Coffs Harbour - South,33.6996
SA2,104021086,104021086,Coramba - Nana Glen - Bucca,363.909
SA2,104021087,104021087,Dorrigo,1987.6714
SA2,104021088,104021088,Korora - Emerald Beach,57.6882
SA2,104021089,104021089,Sawtell - Boambee,118.2251
SA2,104021090,104021090,Urunga,108.4124
SA2,104021091,104021091,Woolgoolga - Arrawarra,270.2411
SA2,105011092,105011092,Bourke - Brewarrina,56841.5222
SA2,105011093,105011093,Cobar,45551.398
